domain,bl,domainpop,abirth,aentries,alexa,dmoz,statuscom,statusnet,statusorg,statusde,statustld_registered,related_cnobi,changes,whois
Colla21.cat,0,0,-,0,0,-,registered,available,available,available,7,4,4 days,available
Beauty-Style.cat,1,1,2017,6,0,-,registered,registered,registered,registered,42,45,4 days,available
SkyNett.cat,0,0,-,0,0,-,registered,registered,registered,registered,32,86,4 days,available
Tapas-Bus.cat,1,0,2018,1,0,-,available,available,available,available,0,-,4 days,available
tapeandobus.cat,1,0,2018,1,0,-,available,available,available,available,0,-,4 days,available
monomoda.cat,0,0,2015,8,0,-,registered,registered,registered,available,5,7,4 days,available
Paintball.cat,16,0,2006,50,0,-,registered,registered,registered,registered,191,7.3 K,4 days,available
EuroLines.cat,0,0,2018,1,0,-,registered,registered,registered,registered,59,57,4 days,available
insebre-grup4b.cat,0,0,-,0,0,-,available,available,available,available,0,-,4 days,available
aetantcompuc.cat,0,0,-,0,0,-,available,available,available,available,0,-,4 days,available
lliuresoingovernables.cat,2,0,-,0,0,-,available,available,available,available,0,-,4 days,available
ivojorda.cat,9.9 K,2,2013,23,0,-,registered,available,available,available,1,2,4 days,available
acisenergia.cat,0,0,2018,2,0,-,registered,available,available,available,3,2,4 days,available
call-nic.cat,1,0,2018,2,0,-,registered,available,available,available,3,4,4 days,available
abatescarre50.cat,185,6,2013,16,0,-,available,available,available,available,0,-,4 days,available
MobilCat.cat,32,2,2008,80,0,-,registered,available,available,available,3,7,4 days,available
eltallerdigital.cat,0,0,2014,19,0,-,registered,registered,available,available,6,4,4 days,available
llibresona.cat,0,0,-,0,0,-,registered,available,available,available,1,-,4 days,available
HappyPills.cat,0,0,2018,2,0,-,registered,registered,available,registered,29,35,4 days,available
Odeon.cat,0,0,-,0,0,-,registered,registered,registered,registered,112,1.2 K,4 days,available
ptbages.cat,0,0,2018,2,0,-,registered,available,available,available,1,2,4 days,available
norlandtex.cat,1,0,2018,2,0,-,available,available,available,available,1,-,4 days,available
LaverniaJarDins.cat,0,0,2018,2,0,-,registered,available,available,available,1,2,4 days,available
NoStraTerra.cat,0,0,-,0,0,-,registered,registered,registered,registered,19,25,4 days,available
bssd.cat,0,0,-,0,0,-,registered,registered,registered,registered,34,190,4 days,available
asetcapital.cat,0,0,-,0,0,-,registered,available,available,available,2,1,4 days,available
tonifreixafcb.cat,27,3,2015,18,0,-,registered,available,available,available,2,2,4 days,available
justi.cat,0,0,-,0,0,-,registered,registered,registered,registered,51,43.3 K,4 days,available
AgendaComArques.cat,0,0,-,0,0,-,available,available,available,available,0,-,4 days,available
dadesambientals.cat,60,3,2010,21,0,-,available,available,available,available,0,-,4 days,available
esperite.cat,0,0,2018,1,0,-,registered,available,available,available,11,5,4 days,available
thekaosisland.cat,0,0,-,0,0,-,registered,available,available,available,1,2,5 days,available
causacomuna.cat,622,7,2009,34,0,-,available,available,available,available,0,-,5 days,available
cemaristes.cat,6,0,2009,51,0,-,available,available,available,available,0,1,5 days,available
Jerry.cat,0,0,-,0,0,-,registered,registered,registered,registered,178,15.1 K,5 days,available
Arya.cat,1,0,-,0,0,-,registered,registered,registered,registered,180,11.6 K,5 days,available
Dark.cat,0,0,2013,70,0,-,registered,registered,registered,registered,309,41.7 K,5 days,available
bandley.cat,0,0,2020,1,0,-,registered,available,available,registered,3,12,5 days,available
tarima.cat,12,0,2018,2,0,-,registered,registered,registered,registered,17,538,5 days,available
Dojo.cat,9,4,2012,34,0,-,registered,registered,registered,registered,228,10.4 K,5 days,available
bpserveis.cat,0,0,-,0,0,-,available,available,available,available,0,1,5 days,available
loriva.cat,0,0,-,0,0,-,registered,available,available,registered,3,95,5 days,available
somi.cat,108,3,2007,64,0,-,registered,registered,registered,registered,87,2.1 K,5 days,available
EuroPastry.cat,1,0,2018,1,0,-,registered,registered,registered,available,18,13,5 days,available
SafeSea.cat,0,0,-,0,0,-,registered,registered,registered,registered,26,196,5 days,available
santuaris.cat,0,0,2018,1,0,-,registered,registered,registered,available,4,10,5 days,available
energiesmoianes.cat,0,0,2018,2,0,-,available,available,available,available,0,-,5 days,available
adequas.cat,0,0,-,0,0,-,registered,registered,available,available,2,14,5 days,available
PartyGame.cat,0,0,-,0,0,-,registered,registered,registered,registered,31,289,5 days,available
CarMePares.cat,0,0,2019,1,0,-,available,available,available,available,0,-,5 days,available
r42.cat,0,0,-,0,0,-,registered,registered,registered,registered,44,-,5 days,available
barcelonapsicoanalisis.cat,0,0,2018,1,0,-,registered,available,available,available,1,2,5 days,available
insebre-websalpunt.cat,0,0,-,0,0,-,available,available,available,available,0,-,5 days,available
Riders-Bike.cat,0,0,-,0,0,-,registered,available,available,available,3,2,5 days,available
ednimbus.cat,0,0,-,0,0,-,registered,registered,available,available,2,6,5 days,available
edumarimon.cat,0,0,-,0,0,-,available,available,available,available,1,-,5 days,available
WonderWomen.cat,0,0,-,0,0,-,registered,registered,registered,registered,50,214,5 days,available
Ropy.cat,0,0,-,0,0,-,registered,registered,registered,registered,19,5.1 K,5 days,available
VestigiumApps.cat,0,0,-,0,0,-,registered,available,available,available,2,2,5 days,available
jouvene.cat,0,0,2018,1,0,-,registered,registered,available,available,15,12,5 days,available
radiokaos.cat,529,3,2012,41,0,-,registered,registered,registered,available,11,13,5 days,available
fontblava.cat,2,0,2013,18,0,-,registered,available,available,available,1,3,5 days,available
arrosseriadesantcugat.cat,1,1,2017,10,0,-,registered,available,available,available,1,2,5 days,available
elllober.cat,43,2,2014,31,0,-,available,available,available,available,0,-,5 days,available
ajuntamentdelescabanyes.cat,235,8,2008,307,0,-,available,available,available,available,0,-,5 days,available
jmduran.cat,0,0,-,0,0,-,available,available,registered,available,1,3,5 days,available
motoresypersianas.cat,0,0,2018,1,0,-,registered,available,available,registered,3,2,5 days,available
aniversari.cat,0,0,2020,2,0,-,registered,available,available,available,4,153,5 days,available
enelconsulting.cat,1,0,2018,2,0,-,registered,available,available,available,3,7,5 days,available
raquelpiernasfoto.cat,0,0,2018,2,0,-,available,available,available,available,0,-,5 days,available
SafeMealServices.cat,0,0,2018,2,0,-,registered,available,available,available,2,-,5 days,available
bonapassa.cat,0,0,2016,4,0,-,registered,available,available,available,1,2,5 days,available
somelteutemps.cat,0,0,-,0,0,-,available,available,available,available,0,-,5 days,available
bencha.cat,0,0,-,0,0,-,registered,registered,registered,registered,23,402,5 days,available
HubDigitalCatalonia.cat,0,0,-,0,0,-,available,available,available,available,1,-,5 days,available
okedicions.cat,0,0,-,0,0,-,available,available,available,available,1,-,5 days,available
SkilledSkin.cat,0,0,-,0,0,-,registered,registered,registered,available,3,6,5 days,available
locaganer.cat,1,0,2018,3,0,-,available,available,available,available,0,-,5 days,available
eduardmarimon.cat,0,0,-,0,0,-,available,available,available,available,1,-,5 days,available
futuro.cat,0,0,-,0,0,-,registered,registered,registered,registered,166,5.7 K,5 days,available
dbosom.cat,0,0,-,0,0,-,available,available,available,available,0,2,5 days,available
PegAmenTo21.cat,0,0,-,0,0,-,registered,available,available,available,2,2,5 days,available
rubiama.cat,0,0,2018,3,0,-,available,available,available,available,0,6,6 days,available
hoqueiplus.cat,0,0,-,0,0,-,registered,available,available,available,1,-,6 days,available
premitenacitat.cat,7,1,2018,5,0,-,available,available,available,available,0,-,6 days,available
naturnet.cat,0,0,2018,1,0,-,registered,available,registered,registered,14,18,6 days,available
parccollserola.cat,15,0,2013,1,0,-,available,registered,available,available,1,2,6 days,available
inmersionreal.cat,0,0,-,0,0,-,available,available,available,available,5,-,6 days,available
CataloniaWines.cat,5.2 K,5,2015,29,0,-,registered,available,available,available,1,2,6 days,available
energiablockchain.cat,0,0,-,0,0,-,registered,available,available,available,3,-,6 days,available
josepolive.cat,0,0,-,0,0,-,available,available,available,available,0,1,6 days,available
datusbox.cat,0,0,2018,2,0,-,registered,registered,available,available,3,2,6 days,available
ahorreluz.cat,1,0,2018,2,0,-,registered,available,available,available,3,4,6 days,available
oove.cat,0,0,-,0,0,-,registered,registered,available,registered,8,6.0 K,6 days,available
laiasola.cat,0,0,-,0,0,-,available,available,available,available,1,-,6 days,available
nusosipunts.cat,0,0,-,0,0,-,registered,available,available,available,2,2,6 days,available
espoiler.cat,0,0,-,0,0,-,registered,available,available,available,3,47,6 days,available
BrainHealthFitness.cat,0,0,2018,2,0,-,available,available,available,available,2,-,6 days,available
CaraDuraRestaurant.cat,0,0,2017,4,0,-,registered,available,available,available,2,3,6 days,available
sitgessostenible.cat,0,0,-,0,0,-,available,available,available,available,1,-,6 days,available
viurecatalunya.cat,0,0,-,0,0,-,registered,available,available,available,1,2,6 days,available
daya.cat,0,0,-,0,0,-,registered,registered,registered,registered,100,7.8 K,6 days,available
sesgavines.cat,0,0,2018,2,0,-,registered,available,available,available,1,3,6 days,available
911.cat,3,0,-,0,0,-,registered,registered,registered,registered,230,-,6 days,available
VetsPort.cat,0,0,-,0,0,-,registered,available,available,available,5,29,6 days,available
lacopisteriaolot.cat,1,0,2018,3,0,-,registered,available,available,available,1,2,6 days,available
Android.cat,11,2,2010,20,0,-,registered,registered,registered,registered,334,15.2 K,6 days,available
albertespin.cat,0,0,-,0,0,-,available,available,available,available,0,3,6 days,available
elteuoperador.cat,0,0,-,0,0,-,available,available,available,available,0,-,6 days,available
pinedatecau.cat,97,4,2009,18,0,-,available,available,registered,available,1,2,6 days,available
CriMar.cat,0,0,-,0,0,-,registered,registered,registered,available,11,59,6 days,available
alestevesmans.cat,0,0,2011,8,0,-,registered,available,available,available,1,3,6 days,available
VilaDoMat236.cat,0,0,-,0,0,-,available,available,available,available,0,-,6 days,available
RogerTorrent.cat,0,0,-,0,0,-,registered,available,available,available,1,-,6 days,registered
emprenfem.cat,2,0,2020,2,0,-,available,available,available,available,0,-,6 days,available
juntspersantllorenc.cat,0,0,-,0,0,-,available,available,available,available,0,-,6 days,available
SendAudit.cat,0,0,2018,2,0,-,registered,registered,available,available,0,4,6 days,available
formaciocbs.cat,0,0,-,0,0,-,available,available,available,available,1,-,6 days,available
Innocent.cat,0,0,-,0,0,-,registered,registered,registered,registered,124,2.1 K,6 days,available
assumptamateu.cat,0,0,-,0,0,-,registered,available,available,available,1,3,6 days,available
Tor.cat,0,0,-,0,0,-,registered,registered,registered,registered,230,-,6 days,available
Bugs.cat,0,0,2018,2,0,-,registered,registered,registered,registered,163,8.5 K,6 days,available
Lifestyle.cat,0,0,-,0,0,-,registered,registered,registered,registered,330,63.2 K,6 days,available
ditdit.cat,0,0,-,0,0,-,registered,available,registered,registered,5,24,6 days,available
pauapps.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
tuoperador.cat,0,0,-,0,0,-,registered,registered,registered,available,14,14,7 days,available
Annie.cat,0,0,-,0,0,-,registered,registered,registered,registered,167,15.5 K,7 days,available
aog.cat,0,0,2010,12,0,-,registered,registered,registered,registered,116,-,7 days,available
FabRegAsPackaging.cat,0,0,2018,1,0,-,registered,available,available,available,3,-,7 days,available
latoscana.cat,21,1,2017,4,0,-,registered,registered,registered,registered,34,222,7 days,available
WeTrans.cat,0,0,-,0,0,-,registered,registered,registered,registered,26,358,7 days,available
voluntariosanonimos.cat,0,0,-,0,0,-,available,available,available,available,2,-,7 days,available
inmersion-real.cat,0,0,-,0,0,-,available,available,available,available,5,-,7 days,available
marcnogueres.cat,0,0,2014,12,0,-,registered,available,available,available,1,2,7 days,available
ArcMaps.cat,0,0,2016,6,0,-,registered,available,available,available,3,6,7 days,available
espaisdetreballsaludable.cat,2,1,2018,3,0,-,available,available,available,available,0,-,7 days,available
elvestidor.cat,0,0,2014,11,0,-,registered,registered,registered,available,8,95,7 days,available
ratafiadefogueres.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
horitzo2030.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
lloguerdhorts.cat,19,0,2013,14,0,-,available,available,available,available,0,-,7 days,available
diarimaresme.cat,0,1,2009,18,0,-,registered,available,available,available,1,2,7 days,available
elcreuerista.cat,1,0,2015,22,0,-,available,available,available,available,0,-,7 days,available
catalanesc.cat,0,0,-,0,0,-,available,available,registered,available,1,1,7 days,available
enalma.cat,0,0,-,0,0,-,registered,available,available,available,2,44,7 days,available
DesCordAt.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
AlterEgoFilms.cat,1,0,2007,28,0,-,registered,available,registered,available,7,4,7 days,available
i-jump.cat,0,0,2018,3,0,-,registered,registered,available,available,12,39,7 days,available
aficametlla.cat,0,0,-,0,0,-,registered,available,available,available,1,2,7 days,available
ptb.cat,0,0,2018,2,0,-,registered,registered,registered,registered,113,-,7 days,available
plaersurbans.cat,1,0,2018,1,0,-,registered,available,available,available,1,2,7 days,available
cime.cat,13,3,2010,37,0,-,registered,registered,registered,registered,83,2.3 K,7 days,available
reclamarirph.cat,0,0,-,0,0,-,registered,registered,registered,available,9,11,7 days,available
StockTandemProjects.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
Amor2.cat,0,0,-,0,0,-,registered,registered,available,registered,5,21,7 days,available
BikeGuardIola.cat,48,2,2014,24,0,-,available,available,available,available,0,-,7 days,available
elsiglo.cat,555,29,2009,75,0,-,registered,registered,available,available,15,92,7 days,available
nabaliaenergia.cat,1,0,2018,2,0,-,registered,available,available,available,5,2,7 days,available
escoladedansalafabrica.cat,26,1,2013,26,0,-,available,available,available,available,0,-,7 days,available
farem.cat,9,2,2015,13,0,-,registered,available,registered,available,15,261,7 days,available
BeLighting.cat,1,0,2018,1,0,-,registered,registered,registered,available,11,63,7 days,available
moltesmerces.cat,10,1,2017,10,0,-,available,available,available,available,0,-,7 days,available
virtualpyme.cat,13,0,2013,43,0,-,registered,registered,registered,available,6,9,7 days,available
jmbusquet.cat,0,0,-,0,0,-,available,available,available,available,0,1,7 days,available
flowk.cat,0,0,2020,1,0,-,registered,available,registered,available,7,192,7 days,available
fundacion-re.cat,0,0,2018,2,0,-,available,available,available,available,4,7,7 days,available
aplicacionsdidac.cat,0,0,-,0,0,-,available,available,available,available,0,-,7 days,available
fesdit.cat,0,0,-,0,0,-,available,available,available,available,1,-,7 days,available
